date,mortgage rates,artificial intelligence,climate change,oil price,online shopping
2020-07-19,8,1,1,2,2
2020-07-26,7,1,1,1,2
2020-08-02,8,1,1,1,2
2020-08-09,7,0,1,1,2
2020-08-16,6,1,1,1,2
2020-08-23,5,1,1,1,2
2020-08-30,5,1,2,1,2
2020-09-06,5,1,3,1,2
2020-09-13,5,1,5,1,2
2020-09-20,5,1,4,1,2
2020-09-27,5,1,4,1,2
2020-10-04,5,1,3,1,2
2020-10-11,5,1,2,1,3
2020-10-18,5,1,3,1,2
2020-10-25,4,1,2,1,3
2020-11-01,4,0,2,1,2
2020-11-08,5,1,2,1,3
2020-11-15,4,1,2,1,3
2020-11-22,3,1,1,1,4
2020-11-29,4,1,2,1,4
2020-12-06,4,1,2,1,4
2020-12-13,4,1,2,1,3
2020-12-20,3,0,1,1,3
2020-12-27,4,0,1,1,3
2021-01-03,5,0,1,1,3
2021-01-10,5,1,1,1,2
2021-01-17,5,1,2,1,2
2021-01-24,5,1,2,1,2
2021-01-31,5,1,2,2,2
2021-02-07,4,1,2,1,2
2021-02-14,5,1,3,2,2
2021-02-21,6,1,2,2,2
2021-02-28,6,1,2,2,2
2021-03-07,5,1,2,2,2
2021-03-14,5,0,2,1,2
2021-03-21,5,0,1,1,2
2021-03-28,4,0,1,1,2
2021-04-04,4,1,2,1,3
2021-04-11,4,1,2,1,3
2021-04-18,4,1,3,1,2
2021-04-25,4,1,2,1,2
2021-05-02,4,1,2,1,2
2021-05-09,4,1,2,1,2
2021-05-16,4,0,2,1,2
2021-05-23,3,0,2,1,2
2021-05-30,3,0,1,1,2
2021-06-06,3,0,1,1,2
2021-06-13,4,1,1,1,2
2021-06-20,3,0,1,1,2
2021-06-27,3,0,2,1,2
2021-07-04,3,0,1,1,2
2021-07-11,4,0,2,1,2
2021-07-18,4,0,1,1,2
2021-07-25,4,0,1,1,3
2021-08-01,3,0,1,1,2
2021-08-08,3,0,3,1,2
2021-08-15,3,1,1,1,2
2021-08-22,3,1,1,1,2
2021-08-29,3,1,2,1,2
2021-09-05,3,1,2,1,2
2021-09-12,3,1,2,1,2
2021-09-19,3,1,2,1,2
2021-09-26,3,1,2,1,2
2021-10-03,3,1,2,1,2
2021-10-10,3,1,2,2,2
2021-10-17,3,1,2,2,3
2021-10-24,3,1,3,1,3
2021-10-31,4,1,3,1,3
2021-11-07,4,1,3,1,3
2021-11-14,4,1,3,1,3
2021-11-21,3,0,1,2,3
2021-11-28,3,1,2,2,3
2021-12-05,2,1,2,1,3
2021-12-12,3,1,2,1,3
2021-12-19,2,0,1,1,3
2021-12-26,2,0,1,1,3
2022-01-02,3,0,2,1,2
2022-01-09,4,0,2,1,2
2022-01-16,4,0,2,2,2
2022-01-23,4,1,2,2,2
2022-01-30,4,1,2,2,2
2022-02-06,4,1,2,2,2
2022-02-13,4,1,2,2,2
2022-02-20,4,1,2,4,2
2022-02-27,5,1,3,5,2
2022-03-06,4,1,2,10,2
2022-03-13,6,1,2,7,2
2022-03-20,6,1,2,4,2
2022-03-27,6,1,3,3,2
2022-04-03,6,1,4,2,2
2022-04-10,6,1,4,2,2
2022-04-17,8,1,100,2,2
2022-04-24,6,1,6,2,2
2022-05-01,8,1,5,2,2
2022-05-08,6,1,4,2,2
2022-05-15,4,1,4,3,2
2022-05-22,4,1,3,2,2
2022-05-29,4,0,2,3,2
2022-06-05,5,1,2,4,2
2022-06-12,12,1,2,4,2
2022-06-19,6,1,1,3,2
2022-06-26,5,0,1,3,2
2022-07-03,5,0,1,3,2
2022-07-10,6,1,2,3,2
2022-07-17,5,1,3,2,2
2022-07-24,8,1,2,2,2
2022-07-31,6,1,2,2,2
2022-08-07,4,1,2,2,2
2022-08-14,4,1,2,2,2
2022-08-21,5,1,2,2,2
2022-08-28,4,1,2,2,2
2022-09-04,4,1,2,2,2
2022-09-11,5,1,3,2,2
2022-09-18,7,1,3,2,2
2022-09-25,6,1,3,2,2
2022-10-02,5,1,3,3,2
2022-10-09,6,1,3,2,2
2022-10-16,5,1,3,2,2
2022-10-23,5,1,3,2,2
2022-10-30,7,1,3,2,2
2022-11-06,5,1,3,2,2
2022-11-13,5,1,4,2,2
2022-11-20,4,1,2,2,3
2022-11-27,4,1,3,2,3
2022-12-04,4,1,3,2,3
2022-12-11,5,1,3,2,3
2022-12-18,3,1,1,1,2
2022-12-25,4,1,1,2,2
2023-01-01,4,1,2,1,2
2023-01-08,5,1,2,1,2
2023-01-15,5,1,2,1,2
2023-01-22,5,1,3,1,2
2023-01-29,5,1,3,2,2
2023-02-05,5,1,3,2,2
2023-02-12,5,1,3,1,2
2023-02-19,5,1,2,1,2
2023-02-26,5,1,3,1,2
